section_id,section_title,section_description,id,type,text,meaning
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_1,scripted,Bue adwadie app no,Open the shopping app
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_2,scripted,Kɔ fie page no so,Go to homepage
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_3,scripted,Kɔ w'anim,Go forward/Next
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_4,scripted,San w'akyi,Go back/Previous
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_5,scripted,Fa to cart no mu,Go to cart
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_6,scripted,Kɔ soro,Scroll up
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_7,scripted,Kɔ fam,Scroll down
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_8,scripted,Kɔ me account no mu,Go to my account
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_9,scripted,Hwɛ me cart no mu nnoɔma,View items in my cart
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_10,scripted,Hwehwɛ ntadeɛ beaeɛ,Search for clothing
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_11,scripted,Hwehwɛ mfidie beaeɛ,Search for electronics
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_12,scripted,Hwehwɛ nwoma beaeɛ,Search for books
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_13,scripted,Hwehwɛ telefon beaeɛ,Search for phones
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_14,scripted,Hwehwɛ nnuane ho nnoɔma beaeɛ,Search for food items
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_15,scripted,Fa nsakraeɛ kakra fa ani,Apply filter
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_16,scripted,Fa yei to me cart no mu,Add this to my cart
ScriptA,Essential E-Commerce Voice Commands,Read these common Twi voice commands for navigating and making purchases on e-commerce platforms.,ScriptA_17,scripted,Yi yei firi cart no mu,Remove this from cart
